text,user_id,username,likes,comment_id,post_id,post_title,channel,published_at,updated_at,reply_count,party,source_file,search_query,sentimiento,confianza
"EN ESTE 4 DE OCTUBRE DEL 2O26 DEFINITIVAMENTE VOTARÉ POR NUESTRA ÚNICA RESERVA MORAL QUE TENEMOS EN NUESTRA PATRIA PERÚ , EL SR. RICARDO PABLO BELMONT CASSINELLI  DEL  PARTIDO  OBRAS",UCubq2anpkcSNUuBSQpTNTpQ,@yolandacanalescuno1221,0,UgwLUFmGgGXcrotlpmF4AaABAg,3vMQQg3pZFM,Conoce la cédula que te tocará en las Elecciones Regionales y Municipales 2026,RPP Noticias,2026-09-07T15:13:38Z,2026-09-07T15:13:38Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5313034653663635
Ahora que distribuyan las cédulas a tiempo para que todos votemos ..,UC0E5l9btMUNSjT8eLg2o36A,@marthadentone51,1,Ugyt4eJYjDaaTF38R4l4AaABAg,3vMQQg3pZFM,Conoce la cédula que te tocará en las Elecciones Regionales y Municipales 2026,RPP Noticias,2026-09-07T13:45:49Z,2026-09-07T13:45:49Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.518761396408081
0:04 Rtc ;3,UCpIWzT2gbR0F-WPUE-Qag9g,@Angela28397,0,UgycIPI_OGeY3qYRfW94AaABAg,3vMQQg3pZFM,Conoce la cédula que te tocará en las Elecciones Regionales y Municipales 2026,RPP Noticias,2026-09-07T12:37:28Z,2026-09-07T12:37:28Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.6188223361968994
"NO ES BUENA QUE LA AI TENGA  ,,EN SU SISTEMA COSA PENALES  ....Y PROCESALES PPR QUE SE PUEDE MANIPULA FASILMENTE......YA QUE NO ES AUN NO ES UN ENTE AUTÓNOMOS.....",UCAxPjARKiFCQlgm-l4U0bSw,@SaPoupsss,0,UgwspWIk4UUTeuva3uV4AaABAg,X0b6QLZHqJg,Presidente del TC apuesta por la inteligencia artificial para reducir la carga procesal,RPP Noticias,2026-09-07T16:06:40Z,2026-09-07T16:06:40Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.46639975905418396
Pueden poner a alguien que sepa pronunciar las palabras??? Hay que descifrar lo que dice!!! Cómo se nota la argolla en los puestos de la Onpe ‼️‼️‼️‼️,UCCasVQiNbLaMIEfrCcVDgug,@jozhuaxD,0,UgyKgEzFsLvD6scI9PN4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-12T19:31:00Z,2026-04-12T19:31:00Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.4984162747859955
Un pupiletras....Esto demuestra ....que la gente no sabe por quién va a  botar ...y que el día de las elecciones lo van hacer por no pagar la multa....,UC5A7JxkOcgHsG1j1mNp9Wag,@RLeonardo41,0,Ugwv7kA9M3TuySAuNyR4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-12T16:29:57Z,2026-04-12T16:30:43Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.8632986545562744
Es confuso 😢,UCsCwax6QLc_YRtfrY0sOg1A,@Alexys0711,0,Ugx843aKpQu84fVHy0R4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-12T05:20:57Z,2026-04-12T05:20:57Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.4941340982913971
"Horrible, no se entiende nada!!!",UCC9I5oWBrDCTfXw36NthV9A,@piedemadera,0,UgwzJ4AYkHfkjdanNvt4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-12T05:10:15Z,2026-04-12T05:10:15Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9587305784225464
Pt no entendí. Estamos a horas a elegir. Una mrd el estado para hacer de esa manera.,UC87HIm-4xZzdrJXKzBKLXeg,@cristianhuamanmarin8670,0,Ugy3SZSPYu-5OjKaVMd4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-12T03:29:00Z,2026-04-12T03:29:00Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9691957235336304
"Disculpa,como saber que número marcsr",UCN8GIH_5YZMHju0xNEBsprA,@cristiantop1,1,Ugx4XXXCGiR0TzH3R-F4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-12T03:23:52Z,2026-04-12T03:23:52Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.6308807134628296
Estoy es manipulación,UCcdNKV3g7HwPw_fUqfjTN9Q,@carlosalbertowongpaima7054,0,UgxEmDFLynnnw-mS6J54AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-12T00:47:43Z,2026-04-12T00:47:43Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.4315500557422638
Mañana son las votaciones y no entiendo ni m después de la columna del Pdte.,UCu9HdXBbvengVL_8APglT3g,@JUAN1424ZP,2,Ugz772pzoDce2BCOQx14AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-12T00:39:31Z,2026-04-12T00:39:31Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.7374270558357239
Que basura no se entiendio ni mrd,UChD8PdLBm6EDtm2RrLIh2ag,@hilarioangel1263,0,UgyCTaLg8dyiv7h2xTt4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-11T22:58:38Z,2026-04-11T22:58:38Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9755859375
Creo q esta vez todo el Perú va a dejar en blanco. Más comlicadoo,UC1fffGkCAu3wbcnzT2hXt5g,@CesarCastillo-kr6tk,0,UgxvbUX-HbItVMRwA1p4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-11T21:00:20Z,2026-04-11T21:00:20Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.787134051322937
Pregunto nosotros los de lima van a votar por la región lima o solo las provincias de Lima votará esa columna,UCaLshzWTgZIl-uWBg4YTGKg,@millaroblesrinag.5545,0,UgytVdrIHMpuRX8sHrF4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-11T16:44:33Z,2026-04-11T16:44:33Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.7339509129524231
"Me da risa que no entiendan pero si  aprenden webadas y esto no, pero si f por los ancianos pero igual escuché que hay acompañamiento para guiarlos",UCUbNwNWS26l2bUHmWpiYNpA,@jwonyyyyyyyyyy03,0,UgzKPQbubFNpG8iMlSV4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-11T13:07:06Z,2026-04-11T13:07:37Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.8931179642677307
No más senado zánganos debe anular eso,UC80WpNUtMXWxawlxr2FCCkw,@hotacedelgado_,0,UgwFzohXGs9rAKuxRJx4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-11T12:55:45Z,2026-04-11T12:55:45Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.5050507187843323
